[INFO] [1781091344.294478262] [degradation_manager]: A.E.T.H.E.R degradation_manager up.
[WARN] [1781091482.091516319] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.36, HPL=8.14 m, outage=0.07 s)
[WARN] [1781091482.392126184] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.44, HPL=8.16 m, outage=0.03 s)
[WARN] [1781091483.391515516] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.34, HPL=8.23 m, outage=0.08 s)
[WARN] [1781091483.841585501] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.48, HPL=8.26 m, outage=0.01 s)
[WARN] [1781091484.891630392] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.34, HPL=8.34 m, outage=0.08 s)
[WARN] [1781091485.491994508] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.48, HPL=8.38 m, outage=0.02 s)
[WARN] [1781091487.592211392] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.33, HPL=8.52 m, outage=0.08 s)
[WARN] [1781091487.991433427] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.39, HPL=8.55 m, outage=0.03 s)
[WARN] [1781091489.641678816] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.25, HPL=8.66 m, outage=0.08 s)
[WARN] [1781091489.991593040] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.37, HPL=8.69 m, outage=0.03 s)
[WARN] [1781091491.041596140] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.34, HPL=8.76 m, outage=0.08 s)
[WARN] [1781091493.142062548] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.38, HPL=8.90 m, outage=0.02 s)
[WARN] [1781091494.941958015] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.28, HPL=9.03 m, outage=0.10 s)
[WARN] [1781091495.991494148] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.37, HPL=9.10 m, outage=0.03 s)
[WARN] [1781091497.041547726] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.29, HPL=9.17 m, outage=0.09 s)
[WARN] [1781091498.191568525] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.35, HPL=9.25 m, outage=0.04 s)
[WARN] [1781091502.691738918] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.30, HPL=9.56 m, outage=0.09 s)
[WARN] [1781091503.341638073] [degradation_manager]: NAV MODE -> NOMINAL  (trust=0.34, HPL=9.61 m, outage=0.03 s)
[WARN] [1781091504.391429844] [degradation_manager]: NAV MODE -> DEGRADED  (trust=0.20, HPL=9.68 m, outage=0.09 s)
[WARN] [1781091505.891889795] [degradation_manager]: NAV MODE -> INERTIAL  (trust=0.14, HPL=9.78 m, outage=1.59 s)
